id,series,subject,grade,term,year,publisher,type,title,pages,paper_count,unit_price,no_cover_price,has_cover,companion_of,file
111,النخبة,تكنولوجيا المعلومات,6,,,,مراجعة,مراجعة النخبة - تكنولوجيا المعلومات - الصف السادس الابتدائي - الشامله في مراجعه النهائيه للصف.pdf,53,26,36.9,16.9,True,,library\Grade_06\مراجعة النخبة - تكنولوجيا المعلومات - الصف السادس الابتدائي - الشامله في مراجعه النهائيه للصف.pdf
112,الاضواء,دراسات,6,1,2027,المتميزون,ملحق,ملحق الاضواء - دراسات - الصف السادس الابتدائي - الترم الأول - 2027 - المتميزون.pdf,170,85,75.25,55.25,True,90,library\Grade_06\ملحق الاضواء - دراسات - الصف السادس الابتدائي - الترم الأول - 2027 - المتميزون.pdf
113,الاضواء,رياضيات,6,1,2027,المتميزون,ملحق,ملحق الاضواء - رياضيات - الصف السادس الابتدائي - الترم الأول - 2027 - المتميزون.pdf,82,41,46.65,26.65,True,92,library\Grade_06\ملحق الاضواء - رياضيات - الصف السادس الابتدائي - الترم الأول - 2027 - المتميزون.pdf
114,الاضواء,عربي,6,1,2027,,ملحق,ملحق الاضواء - عربي - الصف السادس الابتدائي - الترم الأول - 2027.pdf,98,49,51.85,31.85,True,94,library\Grade_06\ملحق الاضواء - عربي - الصف السادس الابتدائي - الترم الأول - 2027.pdf
115,التأسيس,دراسات,6,1,2027,المتميزون,ملحق,ملحق التأسيس - دراسات - الصف السادس الابتدائي - الترم الأول - 2027 - المتميزون.pdf,50,25,36.25,16.25,True,95,library\Grade_06\ملحق التأسيس - دراسات - الصف السادس الابتدائي - الترم الأول - 2027 - المتميزون.pdf
116,التأسيس,عربي,6,1,2027,,ملحق,ملحق التأسيس - عربي - الصف السادس الابتدائي - الترم الأول - 2027.pdf,50,25,36.25,16.25,True,96,library\Grade_06\ملحق التأسيس - عربي - الصف السادس الابتدائي - الترم الأول - 2027.pdf
117,الشاطر,عربي,6,1,2027,المتميزون,ملحق,ملحق الشاطر - عربي - الصف السادس الابتدائي - الترم الأول - 2027 - المتميزون.pdf,98,49,51.85,31.85,True,98,library\Grade_06\ملحق الشاطر - عربي - الصف السادس الابتدائي - الترم الأول - 2027 - المتميزون.pdf
118,,,6,1,2027,المتميزون,ملحق,ملحق الصف السادس الابتدائي - الترم الأول - 2027 - المتميزون - بت باي بت.pdf,114,57,57.05,37.05,True,99,library\Grade_06\ملحق الصف السادس الابتدائي - الترم الأول - 2027 - المتميزون - بت باي بت.pdf
119,المعاصر,انجليزي,6,1,2027,المتميزون,ملحق,ملحق المعاصر - انجليزي - الصف السادس الابتدائي - الترم الأول - 2027 - المتميزون.pdf,46,23,34.95,14.95,True,100,library\Grade_06\ملحق المعاصر - انجليزي - الصف السادس الابتدائي - الترم الأول - 2027 - المتميزون.pdf
120,المعاصر,انجليزي,6,,,,ملحق,ملحق المعاصر - انجليزي - الصف السادس الابتدائي.pdf,46,23,34.95,14.95,True,,library\Grade_06\ملحق المعاصر - انجليزي - الصف السادس الابتدائي.pdf
121,جيم,,6,1,2027,,ملحق,ملحق جيم - الصف السادس الابتدائي - الترم الأول - 2027.pdf,74,37,44.05,24.05,True,,library\Grade_06\ملحق جيم - الصف السادس الابتدائي - الترم الأول - 2027.pdf
122,سلاح التلميذ,عربي,6,1,2027,,ملحق,ملحق سلاح التلميذ - عربي - الصف السادس الابتدائي - الترم الأول - 2027.pdf,130,65,62.25,42.25,True,108,library\Grade_06\ملحق سلاح التلميذ - عربي - الصف السادس الابتدائي - الترم الأول - 2027.pdf
123,الاضواء,دراسات,7,1,2027,المتميزون,كتاب,الاضواء - دراسات - الصف الأول الإعدادي - الترم الأول - 2027 - المتميزون - الصف الاول الاعدادي الصف الاول الاعدادي الصف الاول الاعدادي.pdf,242,121,98.65,78.65,True,,library\Grade_07\الاضواء - دراسات - الصف الأول الإعدادي - الترم الأول - 2027 - المتميزون - الصف الاول الاعدادي الصف الاول الاعدادي.pdf
124,الاضواء,علوم,7,1,2027,المتميزون,كتاب,الاضواء - علوم - الصف الأول الإعدادي - الترم الأول - 2027 - المتميزون - الصف الاول الاعدادي الصف الاول الاعدادي الصف الاول الاعدادي.pdf,266,133,106.45,86.45,True,,library\Grade_07\الاضواء - علوم - الصف الأول الإعدادي - الترم الأول - 2027 - المتميزون - الصف الاول الاعدادي الصف الاول الاعدادي.pdf
125,الاضواء,دراسات,7,1,2027,المتميزون,ملحق,ملحق الاضواء - دراسات - الصف الأول الإعدادي - الترم الأول - 2027 - المتميزون - الصف الاول الاعدادي الصف الاول الاعدادي الصف الاول الاعدادي 1.pdf,116,58,57.7,37.7,True,123,library\Grade_07\ملحق الاضواء - دراسات - الصف الأول الإعدادي - الترم الأول - 2027 - المتميزون - الصف الاول الاعدادي الصف الاول الاعدادي 1.pdf
126,الاضواء,دراسات,7,1,2027,المتميزون,ملحق,ملحق الاضواء - دراسات - الصف الأول الإعدادي - الترم الأول - 2027 - المتميزون - الصف الاول الاعدادي الصف الاول الاعدادي الصف الاول الاعدادي 2.pdf,146,73,67.45,47.45,True,123,library\Grade_07\ملحق الاضواء - دراسات - الصف الأول الإعدادي - الترم الأول - 2027 - المتميزون - الصف الاول الاعدادي الصف الاول الاعدادي 2.pdf
127,الاضواء,علوم,7,1,2027,المتميزون,ملحق,ملحق الاضواء - علوم - الصف الأول الإعدادي - الترم الأول - 2027 - المتميزون - الصف الاول الاعدادي الصف الاول الاعدادي الصف الاول الاعدادي.pdf,228,114,94.1,74.1,True,124,library\Grade_07\ملحق الاضواء - علوم - الصف الأول الإعدادي - الترم الأول - 2027 - المتميزون - الصف الاول الاعدادي الصف الاول الاعدادي.pdf
128,الاضواء,دراسات,8,1,2027,,كتاب,الاضواء - دراسات - الصف الثاني الإعدادي - الترم الأول - 2027 - الصف الثاني الاعدادي الصف الثاني الاعدادي الصف الثاني الاعدادي.pdf,234,117,96.05,76.05,True,,library\Grade_08\الاضواء - دراسات - الصف الثاني الإعدادي - الترم الأول - 2027 - الصف الثاني الاعدادي الصف الثاني الاعدادي.pdf
129,الاضواء,علوم,8,1,2027,المتميزون,كتاب,الاضواء - علوم - الصف الثاني الإعدادي - الترم الأول - 2027 - المتميزون - الصف الثاني الاعدادي الصف الثاني الاعدادي الصف الثاني الاعدادي.pdf,242,121,98.65,78.65,True,,library\Grade_08\الاضواء - علوم - الصف الثاني الإعدادي - الترم الأول - 2027 - المتميزون - الصف الثاني الاعدادي الصف الثاني الاعدادي.pdf
130,جيم,انجليزي,8,1,2027,المتميزون,كتاب,جيم - انجليزي - الصف الثاني الإعدادي - الترم الأول - 2027 - المتميزون - الصف الثاني الاعدادي الصف الثاني الاعدادي الصف الثاني الاعدادي.pdf,306,153,119.45,99.45,True,,library\Grade_08\جيم - انجليزي - الصف الثاني الإعدادي - الترم الأول - 2027 - المتميزون - الصف الثاني الاعدادي الصف الثاني الاعدادي.pdf
131,سلاح التلميذ,دراسات,8,1,2027,المتميزون,كتاب,سلاح التلميذ - دراسات - الصف الثاني الإعدادي - الترم الأول - 2027 - المتميزون - الصف الثاني الاعدادي الصف الثاني الاعدادي الصف الثاني الاعدادي مفكره.pdf,98,49,51.85,31.85,True,,library\Grade_08\سلاح التلميذ - دراسات - الصف الثاني الإعدادي - الترم الأول - 2027 - المتميزون - الصف الثاني الاعدادي الصف الثاني الاعدادي مفكره.pdf
132,سلاح التلميذ,دراسات,8,1,2027,المتميزون,كتاب,سلاح التلميذ - دراسات - الصف الثاني الإعدادي - الترم الأول - 2027 - المتميزون - الصف الثاني الاعدادي الصف الثاني الاعدادي الصف الثاني الاعدادي.pdf,242,121,98.65,78.65,True,,library\Grade_08\سلاح التلميذ - دراسات - الصف الثاني الإعدادي - الترم الأول - 2027 - المتميزون - الصف الثاني الاعدادي الصف الثاني الاعدادي.pdf
